source_name,source_group,target_name,target_group,value
Lt.Gillenormand,5,Gillenormand,5,1
Lt.Gillenormand,5,Cosette,5,1
Marius,8,Mlle.Gillenormand,5,6
Marius,8,Gillenormand,5,12
Marius,8,Pontmercy,4,1
Marius,8,Lt.Gillenormand,5,1
Marius,8,Cosette,5,21
Marius,8,Valjean,2,19
Marius,8,Tholomyes,3,1
Marius,8,Thenardier,4,2
Marius,8,Eponine,4,5
Marius,8,Gavroche,8,4
BaronessT,5,Gillenormand,5,1
BaronessT,5,Marius,8,1
Mabeuf,8,Marius,8,1
Mabeuf,8,Eponine,4,1
Mabeuf,8,Gavroche,8,1
Enjolras,8,Marius,8,7
Enjolras,8,Gavroche,8,7
Enjolras,8,Javert,4,6
Enjolras,8,Mabeuf,8,1
Enjolras,8,Valjean,2,4
Combeferre,8,Enjolras,8,15
Combeferre,8,Marius,8,5
Combeferre,8,Gavroche,8,6
Combeferre,8,Mabeuf,8,2
Prouvaire,8,Gavroche,8,1
Prouvaire,8,Enjolras,8,4
Prouvaire,8,Combeferre,8,2
Feuilly,8,Gavroche,8,2
Feuilly,8,Enjolras,8,6
Feuilly,8,Prouvaire,8,2
Feuilly,8,Combeferre,8,5
Feuilly,8,Mabeuf,8,1
Feuilly,8,Marius,8,1
Courfeyrac,8,Marius,8,9
Courfeyrac,8,Enjolras,8,17
Courfeyrac,8,Combeferre,8,13
Courfeyrac,8,Gavroche,8,7
Courfeyrac,8,Mabeuf,8,2
Courfeyrac,8,Eponine,4,1
Courfeyrac,8,Feuilly,8,6
Courfeyrac,8,Prouvaire,8,3
Bahorel,8,Combeferre,8,5
Bahorel,8,Gavroche,8,5
Bahorel,8,Courfeyrac,8,6
Bahorel,8,Mabeuf,8,2
Bahorel,8,Enjolras,8,4
Bahorel,8,Feuilly,8,3
Bahorel,8,Prouvaire,8,2
Bahorel,8,Marius,8,1
Bossuet,8,Marius,8,5
Bossuet,8,Courfeyrac,8,12
Bossuet,8,Gavroche,8,5
Bossuet,8,Bahorel,8,4
Bossuet,8,Enjolras,8,10
Bossuet,8,Feuilly,8,6
Bossuet,8,Prouvaire,8,2
Bossuet,8,Combeferre,8,9
Bossuet,8,Mabeuf,8,1
Bossuet,8,Valjean,2,1
Joly,8,Bahorel,8,5
Joly,8,Bossuet,8,7
Joly,8,Gavroche,8,3
Joly,8,Courfeyrac,8,5
Joly,8,Enjolras,8,5
Joly,8,Feuilly,8,5
Joly,8,Prouvaire,8,2
Joly,8,Combeferre,8,5
Joly,8,Mabeuf,8,1
Joly,8,Marius,8,2
Grantaire,8,Bossuet,8,3
Grantaire,8,Enjolras,8,3
Grantaire,8,Combeferre,8,1
Grantaire,8,Courfeyrac,8,2
Grantaire,8,Joly,8,2
Grantaire,8,Gavroche,8,1
Grantaire,8,Bahorel,8,1
Grantaire,8,Feuilly,8,1
Grantaire,8,Prouvaire,8,1
MotherPlutarch,9,Mabeuf,8,3
Gueulemer,4,Thenardier,4,5
Gueulemer,4,Valjean,2,1
Gueulemer,4,Mme.Thenardier,4,1
Gueulemer,4,Javert,4,1
Gueulemer,4,Gavroche,8,1
Gueulemer,4,Eponine,4,1
Babet,4,Thenardier,4,6
Babet,4,Gueulemer,4,6
Babet,4,Valjean,2,1
Babet,4,Mme.Thenardier,4,1
Babet,4,Javert,4,2
Babet,4,Gavroche,8,1
Babet,4,Eponine,4,1
Claquesous,4,Thenardier,4,4
Claquesous,4,Babet,4,4
Claquesous,4,Gueulemer,4,4
Claquesous,4,Valjean,2,1
Claquesous,4,Mme.Thenardier,4,1
Claquesous,4,Javert,4,1
Claquesous,4,Eponine,4,1
Claquesous,4,Enjolras,8,1
Montparnasse,4,Javert,4,1
Montparnasse,4,Babet,4,2
Montparnasse,4,Gueulemer,4,2
Montparnasse,4,Claquesous,4,2
Montparnasse,4,Valjean,2,1
Montparnasse,4,Gavroche,8,1
Montparnasse,4,Eponine,4,1
Montparnasse,4,Thenardier,4,1
Toussaint,5,Cosette,5,2
Toussaint,5,Javert,4,1
Toussaint,5,Valjean,2,1
Child1,10,Gavroche,8,2
Child2,10,Gavroche,8,2
Child2,10,Child1,10,3
Brujon,4,Babet,4,3
Brujon,4,Gueulemer,4,3
Brujon,4,Thenardier,4,3
Brujon,4,Gavroche,8,1
Brujon,4,Eponine,4,1
Brujon,4,Claquesous,4,1
Brujon,4,Montparnasse,4,1
Mme.Hucheloup,8,Bossuet,8,1
Mme.Hucheloup,8,Joly,8,1
Mme.Hucheloup,8,Grantaire,8,1
Mme.Hucheloup,8,Bahorel,8,1
Mme.Hucheloup,8,Courfeyrac,8,1
Mme.Hucheloup,8,Gavroche,8,1
Mme.Hucheloup,8,Enjolras,8,1
