date	name	category	IPO	First day change	Three years later	Latest
1999-08-14	Dooley, Jacobi and O'Conner, Inc.	System Integrator	337936596066	386816294428	304554870178	301364486580
1999-06-25	Emard-Wyman, Inc.	Social Game	74831376310	84862060934	63826685288	273416598453
2009-02-09	Streich-Bartoletti, Inc.	Social Game	9931290146712	9742658258469	10185474796481	3761107142199
2000-08-23	Tremblay, Rosenbaum and Okuneva, Inc.	Consumer Game	416442407154	333097795642	548488828116	205831714733
1984-11-07	Herzog and Sons, Inc.	Social Game	5195650680987	3947000153536	5459842200670	5764591226836
1991-09-09	Robel-McGlynn, Inc.	Web Service	7561252564176	5491815695881	7764749541153	6673610031219
1996-10-03	Franecki and Sons, Inc.	Web Service	67886060892	68403482660	90219398706	244206392551
1998-01-04	Shanahan, Ward and Schiller, Inc.	System Integrator	14068598695	14430285793	17285084136	63086380961
2000-01-14	Conroy-O'Hara, Inc.	Web Service	11686790904	8578613582	19532161871	48710544399
2012-01-15	Heller-Breitenberg, Inc.	Social Game	12044919422	12147948660	18067449001	30944151155
1991-11-28	Ullrich, Graham and Corwin, Inc.	Web Service	3166291106639	2508610091288	3134909973284	3007045420754
2013-06-22	Erdman Group, Inc.	System Integrator	17019124796	22047221838	12529073559	1972834175
1980-05-07	Wilkinson and Sons, Inc.	Consumer Game	19431076535	23499949774	17982225972	70886872303
1994-08-14	Crona Group, Inc.	Consumer Game	1117487978	1406792860	1187196800	1240597761
1995-04-10	Rau, Franecki and Wunsch, Inc.	Social Game	284370209115	342578886912	365222461872	748010117764
2011-04-28	Aufderhar, Klein and Balistreri, Inc.	System Integrator	2128290029220	2383766552639	2245705095884	2277142686439
1998-07-29	Streich and Sons, Inc.	Web Service	2356988482	2317885221	1654010460	10868375313
2005-01-25	Dooley-Bergstrom, Inc.	Consumer Game	6765055867	7769597468	10109973976	9165475392
2008-01-31	Miller-Stokes, Inc.	Consumer Game	5060433674742	6100116214224	5425206923637	4151098000296
1980-01-26	Flatley, Walter and Klocko, Inc.	System Integrator	90120786850	72125341515	93587811911	68907857548
1980-05-30	Ruecker-Bashirian, Inc.	Social Game	889832364815	853107885812	1435608984610	2064707517553
2009-11-08	Stoltenberg, Boehm and Blick, Inc.	Social Game	545291832012	441635004729	725909961238	1909545318123
2003-10-03	Beahan LLC, Inc.	Social Game	1605961802493	1212927309986	1801481002965	960088623786
1998-03-09	Schaefer-Schuster, Inc.	Social Game	3045130574	2473461292	3726793961	8375552300
1988-08-30	Ebert-Yost, Inc.	Consumer Game	2638134912	2712625629	3027426855	3572793605
1986-05-29	Cummerata, Kuvalis and Koch, Inc.	Social Game	905586338366	895792596180	1243059841349	2558213483238
1999-11-10	Oberbrunner-Dickens, Inc.	System Integrator	4813919108566	5920885658327	4823267316740	3713900388166
1980-07-02	Runte LLC, Inc.	System Integrator	660921587574	471306366719	738254755256	2509444091482
1990-06-11	Treutel, Waters and McGlynn, Inc.	System Integrator	16660796593	14337991774	11904340355	52895139994
1996-07-12	Nicolas and Sons, Inc.	Social Game	51737391355	59899965262	47339686583	89578123844
2003-11-05	Fisher-Smith, Inc.	Consumer Game	3407601156773	3425557157630	3531545713348	3800635891706
2008-11-03	Kassulke and Sons, Inc.	Web Service	9754170151	9265882896	15778600578	44378467346
2000-01-05	Von-Lindgren, Inc.	Social Game	8623438390832	9205537122480	8518500711806	3989722443764
2004-03-28	Price, Treutel and Berge, Inc.	Social Game	7227409541212	8241182707738	7753199243312	2880489600748
1988-03-06	Keebler-Bednar, Inc.	Web Service	9232643747823	10400093565086	9065569820433	4439413710362
2002-11-18	Rolfson-Windler, Inc.	Web Service	1131068007	1425850949	1000469402	363162711
1983-03-11	Marvin-Morissette, Inc.	Web Service	636764203289	540945425335	602117312629	2727543012230
1990-07-29	Koss-Huel, Inc.	Social Game	2527090335766	2748071269319	2736989696769	1998996422192
2003-10-10	Larkin Group, Inc.	System Integrator	3694217428	4682438684	4642638095	8618359652
1993-04-09	Hettinger-Jacobs, Inc.	Social Game	599563754339	452802923608	698262325842	985936854202
1991-01-18	Koelpin-Heathcote, Inc.	Web Service	33287131670	33335610431	46312885900	20512090180
2011-06-04	Jacobson, Grady and Graham, Inc.	System Integrator	903355076373	1168865527024	725240261691	3207698666929
1993-10-23	Goyette-Olson, Inc.	System Integrator	641270505396	671206085416	656582433150	1173490518724
1985-10-11	Dooley, Schaden and Harvey, Inc.	System Integrator	10462102440	13031642776	17432545883	32532562969
1996-08-04	Lemke LLC, Inc.	Consumer Game	129809628756	167735394142	210686107214	162698750797
1992-11-20	Paucek, Kertzmann and Trantow, Inc.	Social Game	42310604119	46417986001	35691628407	72071035503
1985-06-23	Orn, Funk and Herman, Inc.	Web Service	4055360494419	5185651994717	4491481037778	1772405646322
2000-10-19	Volkman, Schinner and Larkin, Inc.	Web Service	3721531284	3500984167	2712881833	1502043088
2006-01-06	Smith, Rolfson and Johnston, Inc.	Web Service	280147326466	302066053068	336433614638	665721394771
1991-09-07	Boyer, Carroll and Olson, Inc.	Web Service	221856723741	186320984771	209602727824	69163742669
2013-11-01	Carter LLC, Inc.	Social Game	67568792679	75446601397	83803477592	89470358308
2010-12-26	Rutherford-Ortiz, Inc.	Social Game	9514685516303	10298567519033	10354625502975	6570356881243
2008-04-15	Sipes LLC, Inc.	Consumer Game	17467290698	21211903155	12691836046	30980611829
1992-09-03	Emmerich-Gaylord, Inc.	Web Service	300081643911	324750266741	243887933627	321119872390
1998-07-28	Padberg Group, Inc.	System Integrator	62841226127	50529254378	67436176421	25433794957
1980-10-29	Bartoletti and Sons, Inc.	System Integrator	15170891599	18953581148	21829776465	50500775661
2008-11-23	Durgan-Lebsack, Inc.	Consumer Game	1323569096	1333339961	1427017277	3628553545
1995-04-18	Runte-Buckridge, Inc.	Web Service	6943174543659	5281248922355	7827951866631	6183198920614
2003-03-22	Stamm Inc, Inc.	Social Game	2283914154	1680443363	3395207873	2541745766
2013-07-23	Dare, Baumbach and Schimmel, Inc.	Web Service	226697920878	267533414134	361854628599	229020650735
2014-07-05	Wolff, Considine and Schneider, Inc.	Web Service	31937695752	41113263660	28010222135	127129109210
1998-11-20	Hagenes-Kertzmann, Inc.	System Integrator	1227862979	1161686203	2076009297	5715390236
1991-03-26	Hand and Sons, Inc.	System Integrator	4230200910882	4037287021852	4588678750029	1037828800832
2006-07-01	Bahringer Group, Inc.	Consumer Game	1131937254305	1383308505562	1274130027926	488686795813
1999-05-11	Bernhard-Blick, Inc.	Consumer Game	6168377276	6175780168	5098989627	2430327523
1996-09-04	Homenick and Sons, Inc.	Web Service	21187235287	19100738977	24151033189	97221499413
1982-04-23	Miller, Paucek and Paucek, Inc.	System Integrator	7536223964466	6862375795649	8104497625443	5242970293487
1984-06-21	Lynch, Runolfsson and Gulgowski, Inc.	Consumer Game	380474964445	314253119397	536731589326	1510385080809
1982-01-12	Kuhic Inc, Inc.	System Integrator	4990852728	3624955766	6420589256	14420276945
1999-02-24	Runolfsdottir LLC, Inc.	System Integrator	6651736559426	4748560271728	6383725741869	2932748701674
2012-03-03	Satterfield LLC, Inc.	System Integrator	883298775407	971847391951	1095951620625	1103592210142
2009-05-25	Kemmer LLC, Inc.	Web Service	24226097511	24822081018	24028274335	105418871159
1994-07-12	Crooks and Sons, Inc.	System Integrator	12983731010	14881166893	18896734557	38179428418
2009-06-03	Fisher, O'Reilly and Koss, Inc.	Social Game	1078585517044	1222894266203	1121423706801	674363626272
2001-08-19	Boyer-Reinger, Inc.	System Integrator	4568147078616	4752997680557	4771606077939	2913018910507
2003-06-23	Rath, Krajcik and Mohr, Inc.	Consumer Game	1618528081	1373349010	2654605394	7035809091
2003-05-31	O'Connell-Thiel, Inc.	Social Game	326579117733	256406228973	258330557199	1340447531395
1998-09-05	Kuhic-Beier, Inc.	Web Service	17058432158	21687702047	19328639101	10700921022
2001-12-15	Breitenberg-Sanford, Inc.	Consumer Game	51421010260	45008238471	42155651317	176790035703
1992-05-02	Frami Group, Inc.	Web Service	161608977699	113483477854	161600433778	387433893539
1981-12-08	Legros and Sons, Inc.	System Integrator	6456225054587	6815905454730	6206416655258	3845867782964
1982-12-14	Rau, Rau and Konopelski, Inc.	Social Game	2851420754	3336333964	2162169025	13610006620
2004-03-30	Schuppe LLC, Inc.	Consumer Game	331760311884	408600234203	336167102418	1546751466951
1990-01-16	Mosciski Group, Inc.	Web Service	3681279172468	3814973708789	3822145837531	4276997741849
1992-03-17	Langosh Inc, Inc.	Web Service	36836609387	34665245469	48148216789	110178388
1982-05-05	Schneider, Schuppe and Upton, Inc.	Web Service	10087425478	11147190881	8993264649	7305095681
