マニフェストID,登録日時,更新日時,x-axis,y-axis,マニフェスト種別,政治家名,政治家名カナ表記,対象の都道府県,対象の市区町村または都道府県,対象の選挙区,政治家を志した理由,地域のありたい姿,解決したい課題,重要政策1政策分野1,重要政策1政策分野2,重要政策1政策分野3,解決するための重要政策1説明,重要政策2政策分野1,重要政策2政策分野2,重要政策2政策分野3,解決するための重要政策2説明,重要政策3政策分野1,重要政策3政策分野2,重要政策3政策分野3,解決するための重要政策3説明,政策分野注力度1社会保障,政策分野注力度2産業政策,政策分野注力度3社会資本整備,政策分野注力度4教育・子育て,政策分野注力度5農林漁業,政策分野注力度6税財政・財政再建,政策分野注力度7労働,政策分野注力度8環境・エネルギー,政策分野注力度9行政・議会改革,政策分野注力度10安全・防災・震災復興,検証,オープンデータ化（報道等の利活用）に関する許諾,政策の詳細へのURL
92,2015年4月2日 12時15分12秒,2015年4月2日 12時18分24秒,-19.8,3.9,市議会議員マニフェスト,片柳進,カタヤナギススム,神奈川県,川崎市,川崎区,18歳の時に阪神淡路大震災のボランティアに参加して、低所得者の多い地域で多くの命が失われていること、仮設住まいの方がまだ沢山いるのに大型開発が進められていることを知った。大企業の利益のための政治をやめさせ、困っている人を最優先にできる政治に変革したいと思い、政治を変えようと決意した。,川崎区は高齢化率が全市で最も高く、一方マンション建設などで子育て世代の人口も増えている。特養ホーム待機者は5300人、認可保育園の待機者は3600人（全市・14年10月）を超え、高齢者・子育て世代ともに暮らしにくい実状にある。大型開発優先の市政を転換し「子育ても老後も安心の川崎」へと転換すべき。,川崎市は政令市トップの財政力があるにもかかわらず、福田市政は「財政が厳しい」と危機感をあおり市民サービスを大幅に削っている。その一方で「船の来ないコンテナ港」の開発、羽田連絡道路など必要のない橋2本の建設に合計1400億円をつぎ込もうとしている。この使い道を転換し暮らしと福祉の充実にあてる。,医療政策,,,全市で特養ホームの待機者は5369人（2014年10月）と、現在の定員4105床を千人も上回る異常事態。にもかかわらず14年度の増設は約200床、15年度は0床の計画。一般会計の1.5％＝88億円の使い道を変えれば1200床の増設が可能。国・県有地なども活用して大幅増設を。,医療政策,子育て支援,,小児医療費助成制度（通院）は、大和市や厚木市などでは中学3年生まで無料、相模原市や横須賀市も2015年度から大幅に引き上がるなかで、川崎市の「小2まで」は、15年度から全県で最も遅れてた水準となる。格差と貧困が広がる中で、命の格差をなくすためにも、中学生まで所得制限なしで無料化すべき。,子育て支援,,,「幼稚園の保育料に毎月3万円は大変」…私立幼稚園の保育料の高さに苦しむ声も多く寄せられる。入園料＋保育料で川崎市の幼稚園の費用は年間平均で約47万円と、政令市で最も費用負担が大きい。岡山市・静岡市などは26～7万円程度。入園料10万円の補助創設と保育料に1万円の補助増額が必要。,20,8,8,20,5,5,10,8,8,8,検証する,許可する,
89,2015年4月2日 00時06分44秒,,-14.4,9.0,市議会議員マニフェスト,すえなが直,スエナガナオ,神奈川県,川崎市,中原区,私は元々教員志望でしたが、教員を目指す中で教育制度の問題点に関心を持つようになりました。大学院を卒業後、国会議員の秘書を7年勤めさせて頂きました。その中で、着眼大局、着手小局、密接に市民一人ひとりの思いに応え、形にしていける地方政治を志すようになりました。,記憶に新しい川崎区の中学生の悲しい事件は、重要な問題提起として受け止めています。家族、学校、地域の絆を大切にし、二度と同じような事件を起こさないように市民の皆さまと力を合わせていきたいと思います。,家庭・学校・地域一体となった教育環境づくり。もし、災害が発生した際の被害を最小限にする「減災」対策の充実など。,教育政策,,,教育再興！実現を目指します。「家庭教育支援条例の制定」「道徳教育の推進」「家庭・学校・地域一体となった教育環境づくり」,防災対策,,,安心安全の街！災害被害を最小限にする「減災」対策の充実や、国・県と連携し、「緊急事態に対処できるシステムづくり」,地域コミュニティづくり,,,笑顔あふれる、高齢者にもやさしい街づくり！利便性の高いコミュニティバスの運用やバス路線の見直しで移動力アップ、など。,10,10,10,12,8,10,8,10,10,12,検証する,許可する,http://suenagayuke.com/
88,2015年4月1日 22時20分02秒,,-13.0,4.3,市議会議員マニフェスト,松川正二郎,マツカワショウジロウ,神奈川県,川崎市,川崎市中原区,大きな意味で社会を変えるため。,住んで良かった地域。現在構築されつつある「地域包括ケアシステム」ようなことが自然に機能できるような地域。,社会。,その他,道路網整備,鉄道整備,「100年に一度のまちづくり推進派」全国的に注目されている武蔵小杉の再開発を地元で抱える議員として、ハード・ソフト両面からアプローチをしていきます。次世代を担っていく子どもたちに自信と責任を持って引き継がせてあげたいと考えています。,行政改革,財政再建,市民参画・協働,「ぬくもりある効率化」行政の事務・サービスを徹底的に見直し、行政の効率化を高めることにより、必要なところに、必要なだけ、必要なときに、必要なものを届けるという効率化を進めていきます。,地域コミュニティづくり,市民参画・協働,,「民意の最適化」地方議員には、地域のことは地域で決める、そのための受け皿としての役割があります。そうした意味で、「地域のみなさんの民意を最適化し、市政に届けられる」議員を目指します。 ,10,10,10,15,5,10,5,5,15,15,検証する,許可する,http://matsukawashojiro.com/policy.html
87,2015年4月1日 21時15分34秒,2015年4月1日 22時56分45秒,-13.8,7.7,市議会議員マニフェスト,坂本　茂,サカモト　シゲル,神奈川県,川崎市,,私の青春時代は日本が逞しく経済成長を続ける一方、公害問題・学園紛争・国鉄（現JR）スト権闘争など様々な分野で対立と混迷を深めていた時代でもあり、こうした社会環境の変化に無関心ではいられず、次世代を担う若者として社会改革に参画する道の一つである政治家を志しました。,政治家は言葉だけのパフォーマンスではなく、冷静に川崎の現状と市民ニーズを把握・分析しなければならないと考えます。自助・共助・公助は政治が最大効力を発揮するためのシステムです。その上で、町内会への加入促進や支援策の充実、市民による市民のための仮称「７区民サミット」を提唱します。,南北に細長い川崎の地形は縦方向の交通導線が極めて脆弱です。反面、横方向の交通体系は益々利便性が高まり、川崎市は通過都市であると指摘されることもあります。基礎自治体として多様な市民ニーズに対応するには、横方向の利便性と同時に縦方向の導線を確実に整備し、活力ある川崎を構築して行くべきと考えます。,医療政策,企業誘致,,川崎地区のライフイノベーションの更なる発展と充実を目指します。アルツハイマーの治療に大きな効果が期待される、ナノ医療研究の施設を川崎区に誘致すべく心血を注いできました。いよいよ新年度から施設が稼働します。アルツハイマー治療の成果を川崎から全国・世界へ発信できるよう今後も尽力します。,中小企業政策,,,厳しい経営環境にある川崎市内中小企業の具体的応援作として仮称「中小企業育成振興条例」の早期制定を議会質問で市長に提案し、一問一答の提案の複数回繰り返し早期策定を迫りました。市長から制定確約の答弁を得て、現在基本となる条例案骨子の検討中です。実効性のある条例案の審査が楽しみです。,議会改革,,,平成１５年に第３４代議長に就任すると同時に議会改革１８項目を提案し、他都市に先駆け議員歳費の減額（年間約１００万円）・効率的な議会運営（慣例・慣習で開かれていた無駄な会議は開かない）など、市議会始まって以来の大改革を一気に進めて参りました。こうした改革が後戻りせぬよう、注視して行きます。,14,12,12,14,8,8,8,8,8,8,検証する,許可する,
86,2015年4月1日 17時23分30秒,,-12.1,-4.0,市議会議員マニフェスト,ぬまざわ和明,ヌマザワ　カズアキ,神奈川県,川崎市,幸区,民間企業２４年間の経験を生かし、行政の無駄の削減と市有財産の有効活用を目指しました。市民不在の政治に少しでも力になればとの思いから決意しました。,人間関係が希薄になる中で、ますます高齢化が進んでいます。市内では大規模な集合住宅が林立し、お互いが顔の見える社会の構築が今後重要となってくると考えています。社会福祉協議会や民生委員など一部の活動に頼ることなく、地域の中での問題解決ができるような形の重要性を感じています。,今後増加する高齢者と子どもたちへの見守り対策。地域交通の活性化。,地域コミュニティづくり,,,一人住まい高齢者や障害者、子どもたちを含めた地域での見守り体勢の構築。,,,,,,,,,10,5,5,25,1,10,4,5,10,25,検証する,許可する,
77,2015年3月31日 23時50分42秒,,-7.2,1.7,市議会議員マニフェスト,はなわ孝一,ハナワコウイチ,神奈川県,川崎市,,川崎市役所に21年間勤務。福祉行政に21年間携わる中で。条例を執行する側の限界を実感する場面もあり、条例を作る側に回って一人でも多くの人を助けたい気持ちを持ちながら仕事をしている中、公明党の議員として挑戦するお話をお地域の党員から頂いた。,区では多摩丘陵の豊かな自然を残しつつ現在も良好な居住環境の整備や生活利便性の向上、芸術・文化の発信拠点づくりなどが進められおり、引き続き、この方向で街づくりが進められていけばよいのではないかと考える。横浜市営地下鉄の延伸計画については期待も高いので、速やかな計画の実行を期待したい。,高齢化率は15％を超えており、定住志向の高さから今後も高齢化の進展が見込まれることから、介護サービス基盤の充実や介護予防の取組が必要です。地域包括ケアシステムの構築や救急車のたらい回しのゼロや認知症対策といった高齢者対策の充実をきちんと実施していきたい。,道路網整備,,,今後の超高齢化社会に向け、本庁から区役所に権限移譲し、区というフィールドの中で、民間活力を導入して行政と地域が一体となってコミュニティバス網の拡充を目指すべきと考えます。,,,,,,,,,20,0,25,25,0,0,5,15,0,10,検証する,許可する,
76,2015年3月31日 22時10分07秒,,-2.4,7.3,市議会議員マニフェスト,岩崎よしゆき,イワサキヨシユキ,神奈川県,川崎市川崎区,,先輩議員が市民の方々の相談を通し、市民サービスや市政の在り方を着実に変え、国をも動かす行動を見て、庶民直結の市会議員を目指しました。５期２０年の実績経験を活かし、初心に帰って市民と市政のパイプ役に徹し働く事を決意、再び挑戦致します。,年齢を問わず、人と人とが支えあい助け合う地域。いつまでも住み慣れた処で、人を育み暮らすことのできる安心で快適な社会。,①さらに子育てのしやすい環境づくり②高齢者が暮らしやすいかわさきづくり③自転車事故防止のため「サイクルタウンかわさき」の推進④防災・温暖化対策の推進,子育て支援,少子化対策,女性政策,川崎は先日たいへん悲しい事件が起きてしましました。二度とこのような事件を起こさないとの決意で子どもの目線でいじめや犯罪、事件から守る体制の早期整備に取り組みます。また安心して育てられるように産後ケアの拡充や子ども医療費無料化の着実な拡充、保育園の待機児童の解消を図ります。,介護支援,医療政策,地域コミュニティづくり,超高齢社会です。健康づくりとして念願だった高齢者の「肺炎球菌ワクチン接種の助成制度」も昨年からスタートしました。今後は障害をお持ちの方も高齢者も人と人とが支えあい助け合う「地域包括ケアシステム」を実現させ、安心・快適なまちづくりに全力で取り組みます。,道路網整備,防災対策,教育政策,川崎区は自転車にかかわる事故は常に県下ワーストワン。事故を無くしたいとの思いで、歩行者と分離する自転車通行帯を幹線道路に整備をと始めた「サイクルタウンかわさき」構想も総仕上げへ。また走行マナーアップを推進し、小学生・高齢者など年代に合わせた交通安全教室の開催を進めます。,20,7,8,15,5,5,5,7,8,20,検証する,許可する,http://www2u.biglobe.ne.jp/~iwayoshi/
75,2015年3月31日 18時41分04秒,2015年3月31日 18時44分50秒,-0.8,6.3,市議会議員マニフェスト,柳下博子,ヤギシタヒロコ,神奈川県,川崎市,幸区,高齢者介護や障がい者支援、子育て支援をしてきました。仕組みを変えることで現場での課題が改善できるとしても議会での決議が必要です。その議会で政策提案する議員が市民感覚と距離があったのでは課題解決に結びつきません。議会に現場をよく知る生活者の議席を獲得したいとの思いから。「参加型政治」をすすめたい。,家事や子育ての支援をして「地域に支援の仕組みがある事」に安心してくれているという事を感じました。子どもも若者も高齢者も障がいを抱えても災害が起こってもどんな仕組みがあれば安心・安全に暮らせるか、孤立しないか、私たち自身が主体となって考える“市民自治”が根ざした地域でありたい。地域で共に生きるために。,高齢化が進み高齢者だけの世帯や高齢者単身世帯が増加する中、要介護・要支援者も増加すると推定されていて住宅支援が必要です。幸区は若い世帯の転入も多く、不慣れな地域での子育ては孤立しがちです。また子どもや若者の孤立も課題として浮かび上がっています。そして若者を取り巻く社会経済状況は深刻です。,介護支援,,,【高齢者の生活を地域で支える】・必要な人に必要なサービスが届くように、訪問介護事業やデイサービス、食事サービスなど在宅を支えるサービスを充実させます。・福祉の担い手を広げるための処遇改善を提案します。,子育て支援,,,【子どもの育ちを社会で支える】・短時間勤務でも保育所を利用できるように基準を緩和します。・身近な場所に子育てひろばをつくります。・地域の居場所を作り、寄り添い型支援を展開します。,雇用創出,失業対策,,【若者の就労支援】・身近な地域にワンストップの生活・就労相談を広げます。・労働教育や労働体験プログラム制度を充実させます。・中間的就労、就労訓練に取り組む企業・NPOを支援します。,14,4,4,14,6,8,13,12,12,13,検証する,許可する,
73,2015年3月31日 17時26分32秒,,0.4,1.0,市議会議員マニフェスト,山田はるひこ,ヤマダハルヒコ,神奈川県,川崎市宮前区,川崎市議会　宮前選挙区,流通業界（小売・卸）で25年務める傍ら、党員として地域活動に関わる中、宮前区の前任議員の引退に伴い、党員の方々から推薦を受け立候補を決意いたしました。,宮前区の将来人口推計では2025年には、市内で最も高齢化の進んだ地域になるとの推計が示されていることから、コンパクトな街づくりが必要で、高齢社会を支える地域包括支援システムの構築。加えて、防災に強い地域づくりです。,宮前区内には、初期救急対応の病院が1施設しかなく救急医療体制の整備が喫緊の課題です。また、聖マリアンナ医大病院等の医療施設や田園都市線や横浜市営地下鉄沿線の商業施設等への交通アクセスの改善が必要です。,医療政策,道路網整備,,休日急患診療所の夜間診療への拡充を図ります。鷺沼駅周辺の混雑緩和と交通アクセスの拡充としての駅前開発を推進します。現在、駅前ロータリーが飽和状態の為、聖マリアンナ医大病院等へのアクセスが困難な状況にあります。立体デッキ等の改善を図ることで新路線の拡充が整えられると考えます。,,,,,,,,,15,5,10,20,0,10,5,5,5,25,検証する,許可する,http://www.yamada-haruhiko.net/top.html
72,2015年3月31日 16時49分36秒,2015年3月31日 16時58分03秒,-0.1,-1.0,市議会議員マニフェスト,市古映美,イチコテルミ,神奈川県,川崎市,中原区,戦後すぐに生まれた私は母たちから戦争のことを聞きながら育ち、戦争だけはいやと生きてきました。私は3人の子どもの子育てをしながら働く母親として、平和な世の中でありたい、子どもたち、女性たち、地域のさまざまな要求を市議会で取り上げ、少しでもくらし、福祉、教育がよくなればと決意しました。,住み慣れた地域でいつまでも住みつづけたい、というのは多くのみなさんの願いです。そのためにも中学校単位で、さまざまな子育ての施設、文化施設、元気高齢者から介護が必要な高齢者の施設などのきめ細やかな整備が必要です。,子育て支援では待機児童解消、高齢者支援としては介護保険料引き下げなどが早急に解決すべき課題だと考えます。,子育て支援,教育政策,医療政策,子育て支援・こどもの医療費助成を所得制限なしで中学校卒業まで実施、園庭がある認可保育園の増設、幼稚園保育料補助の拡充・入園料補助の創設、中学校まで少人数学級の拡充,医療政策,介護支援,,高齢者福祉の充実、特養ホームの待機者6千人近くというのは異常です。緊急増設が必要です。この間、川崎市の行財政改革のもと、高齢者を中心に容赦ない削減が行われました。介護保険が改悪されるなかで、川崎市独自の高齢者支援策が求められています。,中小企業政策,中心市街地活性化,,中小企業支援・いまこそ、市内中小企業者を育成・支援していくことが求められています。中小企業予算を一般会計の2％に増額し、公共事業への市内事業者への発注を金額で70％以上に引き上げることが必要です。商店街振興への支援強化が大切です。,20,10,5,20,5,10,5,10,10,5,検証する,許可する,
71,2015年3月31日 14時08分48秒,2015年3月31日 14時14分16秒,2.2,-0.6,市議会議員マニフェスト,井野大輔,イノダイスケ,神奈川県,川崎市,多摩区,20年間、地元の飲食業をつうじて数多くの市民の方々との交流から、川崎市の可能性と問題点を具体的に解決するために、地方議員としてまちに貢献したいと思ったからです。,しがらみや先入観にとらわれない市民主役のまちづくり。子どもから高齢者の方々がずっと住みつづけたい川崎市そして多摩区を目指して地域のコミュニティを推進していく。,市民の生活が幸せになる仕組みを創ること。そのために若者や女性はもちろん、アイデア、行動力のある人々との地域交流の場を提案、推進して一つ一つの問題を解決したい。,芸術・文化振興,地域コミュニティづくり,中心市街地活性化,川崎市という東京都と横浜市という大都市にはさまれながら細長い土地柄、南部と北部の交流もなく一体感がない。市民の未来の地域共生の礎として日本一の老若男女参加型フェスティバルを創っていく。内容とねらいは、,芸術・文化振興,地域コミュニティづくり,中心市街地活性化,南部VS北部で市の中心にある等々力緑地にて大運動会、音楽フェス、カラオケ大会、グルメフェア、アートフェスetc、世代を超えた交流と地元から才能を発掘,芸術・文化振興,地域コミュニティづくり,中心市街地活性化,育成し、商店街等の活性化をうながすイベントにします。市民の一人一人が活躍できる場所を創造していきたいと思います。,15,5,5,20,3,10,7,10,10,15,検証する,許可する,
70,2015年3月31日 13時40分41秒,2015年4月1日 22時49分30秒,3.9,1.5,市議会議員マニフェスト,河野ゆかり,コウノユカリ,神奈川県,川崎市,多摩区,1995年の阪神淡路大震災で、被害の激しかった神戸市長田区で被災地ボランティアを経験。困っている人にこそ、政治の力が必要であると感じたことが原点です。,どの年代の方も将来にわたって不安なく暮らせることが大切だと思います。そしてそのためには、お互いが心に寄り添うことができる地域づくりを目指したいと考えています。,地域の一人一人の声をカタチにすること。小さな一つ一つかもしれません。ですが、困っている人などの心に寄り添うことが大きな課題の解決につながると確信しています。,防災対策,公共施設マネジメント,通信施設整備,安心・安全ナンバーワンのまちに。これまでも被災地ボランティアの経験、また母親・女性視点から、避難所となる学校へのWifi導入や、水道管耐震化を実現してまいりました。,介護支援,子育て支援,教育政策,心に寄り添うサポートの実現。子育て世代への生活サポート、介護、認知症の家族へのケアなど、引き続き具体的な政策の実現をしてまいります。,道路網整備,防犯対策,地域コミュニティづくり,あなたの声を届ける。この４年間、2300件を超える市民相談を受け、通学路の安全対策から南武線の橋上駅舎化の推進まで、いくつもの提案を行ってきました。さらに推進してまいります。,20,0,0,20,0,10,10,5,5,30,検証する,許可する,
69,2015年3月31日 09時31分05秒,,4.4,5.9,市議会議員マニフェスト,後藤晶一,ゴトウショウイチ,神奈川県,川崎市高津区,,川崎市に生まれ育ち、サラリーマン生活20年間いわゆる川崎都民（川崎に住みながら東京で働く）として暮らす中で、ふるさと川崎のため、また高津区の安全・安心のまちづくりに少しでもお役に立てればとの思いで政治家を志した。,少子高齢社会、核家族化が急速に進む中、地域コミュニティの活性化や安全・安心のまちづくり、高齢者が住み慣れた地域で医療・介護の包括的なサービスが受けられる地域作り。,防災・減災対策、保育待機児童対策、小児医療費助成拡充、児童虐待、高齢者の孤独死問題、少子高齢化に伴う市の財政負担など,通信施設整備,医療政策,震災復興,1次避難所の小・中学校の環境整備、2次避難所との連携、誘導体制、マニュアル化、土砂災害対策など,子育て支援,少子化対策,生活保護対策,子育て支援、小児医療費助成拡充（中学校3年まで）,医療政策,介護支援,上下水道整備,高齢者の孤独死対策として地域での見守りネットワークの拡充、インフラ（電気、ガス、水道）の連携、企業団体との協定など一人暮らし高齢者や高齢者所帯の見守りネットワークの構築,20,5,5,15,5,10,5,10,5,20,検証する,許可する,
68,2015年3月31日 00時41分27秒,,3.1,0.0,市議会議員マニフェスト,吉岡　としすけ,ヨシオカトシスケ,神奈川県,川崎市,中原区,サラリーマン時代阪神淡路大震災を経験。行政の姿勢に疑問を持つ。防災ばかりではなく、まちづくり、地域づくり、など庶民目線から乖離する場面を数多く目撃。市民の目線で語り、市民の目線で支援し、市民の生涯を支える地方自治の実現が必要と強く感じた事がきっかけ。,人口流動の大きい川崎市にあってすべての市民が、世代を超え課題を抱えた人もそうでない人も供に暮らし続けることのできる「みんながよろこぶ地域づくり街づくり」子どもを「育てやすい社会づくり」安全・環境・街づくりで「優しい街づくり」を目指す。,未熟な都市基盤に対しバリアフリーの街など「安全安心の街づくり」。社会全体で子育て環境の整備と仕組み作りによる「子育て支援の拡充」。一人住まい高齢者が安心して住み続けられる「高齢者の暮らしを支える街づくり」を目指してまいりたい。,地域コミュニティづくり,子育て支援,介護支援,課題解決の要は「空き家対策」。空き家を課題の根源ではなく、都市の重要な資産として、持ち主・地域・行政供にWin-Winの活用を目指していく。川崎らしい空家政策の実現により、地域活力の源泉として、ハードに頼らない地域活性化の実現を目指す。,子育て支援,教育政策,通信施設整備,「子育て支援の充実」では子供を授かった時から子供が自立するまで一貫した支援を行う。増加する空き家を「子育て応援住宅」等で活用を進め、一貫した子育て支援の仕組み作りを目指す。本市では１０年前から教職員が子供の成長を一貫してフォローできるようＩＣＴ導入を進めてきた。このシステムの充実をはかる。,介護支援,地域コミュニティづくり,,「高齢者の暮らしを支える街づくり」ではこれから始まる「地域包括ケアシステム」の中に、地域と高齢者を繋ぐ仕組みづくり、いうなれば介護ポイント制度などの創設でボランテァの活用による高齢者を支える仕組みづくりを目指す。,15,15,20,20,2,10,10,5,5,5,検証する,許可する,http://www5e.biglobe.ne.jp/~tyosioka/
65,2015年3月30日 17時34分54秒,,8.4,3.9,市議会議員マニフェスト,山田　益男,ヤマダ　マスオ,神奈川県,川崎市,幸区,先輩議員の引退に伴い、後継者として働く者の代表の立場で活動をしたいと決意,住んでよかった、働いてよかったと思えるような街づくりにみんなが参加する,南武線連続立体交差事業の早期着工と事業の促進,鉄道整備,,,横浜市との事業化に向けてのいろいろな立場での連携強化,,,,,,,,,15,5,5,15,5,10,10,15,10,10,検証する,許可する,
64,2015年3月30日 10時52分45秒,,14.5,-3.8,市議会議員マニフェスト,重冨たつや,シゲトミタツヤ,神奈川県,川崎市中原区,,家族や地域を支えようとする先人たちの生き方に感動し、私もそのように生きたいと思いました。これまで私を育ててくれた地域をこれからもっと素晴らしい地域にしたいです。政治と無縁だったからこそ、当選できそうだから立候補する政治家ではなく、やりたいことを実現するために活動する政治家になれると自負しています。,まちづくりを身近に感じさせてくれる議会・行政があり、市民のまちづくりへの思いが届く仕組みを持つ地域にしたいです。右肩上がりの時代と考え方を変えなければいけません。私たちは、大切な家族の未来を思うのと同じように、その家族が生きる地域や国の未来のことを考えなければいけない時代を生きているのだと思います。,議会を変えることが急務だと考えています。私たち市民が望むサービスを全て手に入れられる時代は終わりました。限られた予算を地域にあった形で使うために、市民と議会と行政がこれまで以上に繋がる必要があります。福祉費が増大する時代をどのように乗り越えるのか。市民と議会と行政が一体となり考えなければなりません。,議会改革,情報公開・広報広聴,若者の政治参加,市民と議会が繋がる仕組みとして議会報告会の開催を条例で定めます。市民は政治に関心がない」と嘆くのではなく、関心をもって頂くための試行錯誤を議会が主体となって行う必要があります。来場を促すために文化的なイベントとのコラボなどの工夫が必要ですが、まちづくりを身近に感じて頂くきっかけになると考えます。,議会改革,情報公開・広報広聴,,市民が政治家を信頼できない大きな要因であるおカネの問題を解決します。政務活動費が年間５４０万円あるため、年間報酬１３００万円は市民に納得して頂けません。また政務活動費の収支報告書は市のホームページで公開することを提案します。重冨たつやは議員報酬の削減が実現するまで活動費を議員報酬の中から支出します。,行政改革,市民参画・協働,財政再建,財政が逼迫する中、これまで以上に市民感覚にあった効果的な施策が求められます。そのために市民に身近な区役所が必要です。市民がまちづくりに参加する仕組みとして、市民参加・公開型の事業仕分けの導入を目指します。市民参加で優先順位を考えることで、防災など優先順位の高い問題解決にかける予算の捻出を目指します。,10,0,0,10,0,30,10,0,30,10,検証する,許可する,http://shigetomi-tatsuya.com/
63,2015年3月29日 17時20分12秒,,10.6,4.5,市議会議員マニフェスト,吉沢章子,ヨシザワアキコ,神奈川県,川崎市,多摩区,建築家から政治家へ転身したのは38歳の時です。理由は大きく二つ。①政治は創造的な仕事である。②笑顔の絶対量の差。創造力を駆使して良策を実現した時、建築家よりはるかに多くの人を笑顔にできると観じ、政治家になる覚悟を決めました。陸奥宗光「政治はサイエンスに非ずアートなり。」は座右の銘です。,①女子力全開都市：すべての女性が輝く社会は老若男女すべての人が幸せな世界。女性や子どもをはじめ現場の声が届くしなやかな社会。②環境共生都市：複合型災害に対応しエネルギーの自立も目指した環境共生型の強靭な都市。③自立経営都市：地域特質を活かしたイノベーション・観光・中小企業支援等で豊かな川崎。,最も為したいのは社会構造改革。それに至る道筋として、女性・子ども・若者・お年寄り等を支援し、社会起業家やＣＳＲを貫く企業・人と連携し、まっとうな人がまっとうに暮らせる社会の構築を目指す。また、災害大国日本の国土強靭化計画を実質的なものとし脆弱性を洗い出した上で環境共生型の国土を再構築する。,女性政策,若者の政治参加,市民参画・協働,①女子力全開。職場で家庭で地域で全ての女性が輝く社会を目指しワークライフバランス向上、子育て、介護等を全力支援。女性の声を政策へ。②高校生×川崎市。今こそ子どもの声を政治へ、行政へ。「高校生課」を提案。子ども達が持つ次元の違う視点とスキルで行政課題を解決。子ども・若者の声を政策へ。,防災対策,再生可能エネルギー導入,その他,③多摩区強靭化計画　国土強靭化　→　川崎強靭化　→　多摩区強靭化建築の手法であるパッシブデザインを都市に置き換え、環境にやさしい街は災害に強い街であるという信念のもと、複合型災害への早期対策とエネルギー政策として「環境共生都市」を一級建築士として一貫して提案中。災害対策は章子にお任せ！,医療政策,介護支援,観光振興,④チームDE医療・チームDE介護　住み慣れた多摩区で。在宅高齢者支援。多職種連携による質の高い在宅医療・介護サービスの実現を目指す「チーム・たま」を全力応援！在宅介護経験者としての視点で地域包括ケアシステムを確立。現場の声を政策へ。⑤生田緑地で多摩区をネットワーク：地域経済活性化,15,5,10,15,5,10,5,15,10,15,検証する,許可する,http://yoshizawa‐akiko.jp
54,2015年3月27日 17時18分04秒,,21.4,0.6,市議会議員マニフェスト,久米英一郎,クメエイイチロウ,神奈川県,川崎市幸区,,日本航空で23年間勤務する中で、数々の不合理な規制、裁量行政に対して疑問を感じていました。規制改革を進めなければ日本は競争力を失っていくという思いの中、自らの知識・経験を行財政改革や行政サービスの質の向上に役立てていきたいという思いが強くなり政治家を志しました。,私が実現したい３つの「かわさき」①子どもたちにツケを回さない「かわさき」②誰もが暮らしやすい、住み続けたいと思う「かわさき」③頑張る人が報われる「かわさき」,公営企業・出資法人の財政改革、扶助費の適正化による行財政改革を進めます。歩行者・自転車にやさしい街づくりを推進し、南武線立体交差化事業のスピードアップを図ります。働くお母さんを中学校完全給食で応援し、公務員制度改革、「元気にする介護」への成果報酬の付与等を通じて頑張る人が報われる仕組みを整えます。,行政改革,財政再建,生活保護対策,減債基金からの借り入れに頼らない行財政改革を断行します。公営企業・出資法人の財政改革、子育て世代への重点配分、生活保護脱出支援等により扶助費の適正化を図っていきます。,道路網整備,鉄道整備,再生可能エネルギー導入,駐輪場拡充、自転車道の整備、歩道橋への自転車スロープ設置等により、歩行者にも自転車にもやさしい街づくりを進めます。南武線立体交差化事業の一層のスピードアップを図ります。再生可能エネルギー最先端都市である川崎から電力自由化、地産地消を一層推進します。,子育て支援,介護支援,教育政策,子育てをしながら働くお母さんたちを栄養バランス、アレルギー対策に配慮した、食育・地産地消重視の中学校給食実現で応援します。要介護度を改善する取り組みを行う事業者がよりインセンティブを得られる介護保険制度の導入、公務員への成果・能力給の導入、公教育への習熟度別授業の推進等により頑張る人を応援します。,10,5,10,10,0,25,10,10,15,5,検証する,許可する,http://www.e-kume.com/
53,2015年3月27日 12時56分16秒,2015年4月4日 06時44分34秒,16.3,-18.5,市議会議員マニフェスト,かわむら　豊,カワムラ　ユタカ,神奈川県,川崎市中原区,川崎市中原区,中学3年までの医療費無料を早期実現をする事。行政にも民間企業が持つ管理会計の考え方を導入、収益性・採算性・顧客満足度を数値化する事で事業の黒字化、採算の悪い事業投資を見送る等の考えを導入したい為。,子供達が、感染症や精神的な圧力などから守り、安心・安全に生活し、子供達の両親が安心して仕事ができる環境作り。,中学3年までの医療費無料を早期実現。武蔵小杉駅周辺にも高さ規制導入。,子育て支援,少子化対策,,中学3年までの拡大に必要な財源は約20億円です。公共事業を中心に民間企業がもつ管理会計の考え方を導入、収益性・採算性・顧客満足度を数値化する事で事業の黒字化を目指す。採算の悪い事業投資を見送る等で十分財源は確保出来ます。,,,,,,,,,20,10,10,30,0,30,0,0,0,0,検証する,許可する,
