全国地方公共団体コード,識別値,種別,種別小分類,name,施設名（カナ）,通称,住所表記,郵便番号,lat,lon,description,連絡先名称,電話番号,Webサイト
23204,KSDT13,保育園,公設民営,こうはん保育園,コウハンホイクエン,,愛知県瀬戸市南山町1丁目118,4890986,35.22328,137.06333,,こうはん保育園,0561-82-3252,
23204,KSDT14,保育園,民間,アートチャイルドケア瀬戸南山保育園,アートチャイルドケアセトミナミヤマホイクエン,,愛知県瀬戸市南山町1丁目152-2,4890986,35.22561,137.06531,,アートチャイルドケア瀬戸南山保育園,0561-97-0125,
23204,KSDT15,保育園,公立,原山保育園,ハラヤマホイクエン,,愛知県瀬戸市原山台2丁目9,4890888,35.21211,137.08935,,原山保育園,0561-83-4951,
23204,KSDT16,保育園,民間,萩山保育園,ハギヤマホイクエン,,愛知県瀬戸市萩山台3丁目69,4890886,35.21285,137.10364,,萩山保育園,0561-84-3872,
23204,KSDT17,保育園,公立,八幡保育園,ハチマンホイクエン,,愛知県瀬戸市八幡台2丁目11-1,4890861,35.2059,137.09242,,八幡保育園,0561-84-7555,
23204,KSDT18,幼稚園,,瀬戸ひなご幼稚園,セトヒナゴヨウチエン,,愛知県瀬戸市紺屋田町93-1,4890035,35.23555,137.11375,,瀬戸ひなご幼稚園,0561-82-7760,
23204,KSDT19,幼稚園,,雪の聖母幼稚園,ユキノセイボヨウチエン,,愛知県瀬戸市東長根町91,4890871,35.21697,137.07856,,雪の聖母幼稚園,0561-82-6409,
23204,KSDT20,幼稚園,,マリア幼稚園,マリアヨウチエン,,愛知県瀬戸市苗場町8,4890983,35.22818,137.07525,,マリア幼稚園,0561-82-9749,
23204,KSDT21,幼稚園,,真貴幼稚園,マキヨウチエン,,愛知県瀬戸市原山台2-23-2,4890888,35.21072,137.09348,,真貴幼稚園,0561-21-4128,
23204,KSDT22,幼稚園,,菱野幼稚園,ヒシノヨウチエン,,愛知県瀬戸市萩山台7-13-1,4890886,35.21113,137.10206,,菱野幼稚園,0561-83-3651,
23204,KSDT23,幼稚園,,はちまん幼稚園,ハチマンヨウチエン,,愛知県瀬戸市八幡台4-14-1,4890861,35.20355,137.09697,,はちまん幼稚園,0561-83-8703,
23204,KSDT24,幼稚園,,瀬戸幼稚園,セトヨウチエン,,愛知県瀬戸市すみれ台4-40-5,4890904,35.24086,137.0757,,瀬戸幼稚園,0561-48-4800,
23204,KSDT25,保育園,民間,みずの保育園,ミズノホイクエン,,愛知県瀬戸市はぎの台1丁目29,4890905,35.23885,137.06995,,みずの保育園,0561-48-2346,
23204,KSDT26,保育園,民間,ふたば保育園,フタバホイクエン,,愛知県瀬戸市東長根町117,4890871,35.2152,137.07567,,ふたば保育園,0561-83-2811,
23204,KSDT27,保育園,民間,アスク新瀬戸保育園,アスクシンセトホイクエン,,愛知県瀬戸市苗場町63-1,4890983,35.22864,137.07446,,アスク新瀬戸保育園,0561-21-8790,
23204,KSDT28,保育園,民間,ぽっぽ保育園,ポッポホイクエン,,愛知県瀬戸市八幡台3丁目10,4890861,35.20646,137.09697,,ぽっぽ保育園,0561-84-3239,
23204,KSDT29,保育園,民間,ひかり保育園,ヒカリホイクエン,,愛知県瀬戸市湯之根町１,4890078,35.22937,137.1016,,ひかり保育園,0561-84-5373,
23204,KSDT30,保育園,民間,みどり保育所,ミドリホイクショ,,愛知県瀬戸市白山町2丁目10-1,4890876,35.2043,137.09038,,みどり保育所,0561-82-3208,
23204,KSDT31,保育園,民間,ひかりみつる保育園,ヒカリミツルホイクエン,,愛知県瀬戸市東山町1丁目169-2,4890988,35.22933,137.06296,,ひかりみつる保育園,0561-83-7555,
23204,KSDT32,小規模保育所,,松ヶ丘共同保育所,マツガオカキョウドウホイクショ,,愛知県瀬戸市松原町2丁目73-2,4890985,35.22612,137.0683,,松ヶ丘共同保育所,0561-21-3757,
232262,,児童厚生施設,児童館,尾張旭市藤池児童館,オワリアサヒシフジイケジドウカン,,尾張旭市東栄町一丁目4-7,4880011,35.219255,137.049664,,尾張旭市藤池児童館,0561-54-8734,http://www.city.owariasahi.lg.jp/kurasi/kosodate/jidoukan/itiran/hujiike.html
232262,,児童厚生施設,児童館,尾張旭市白鳳児童館,オワリアサヒシハクホウジドウカン,,尾張旭市白鳳町二丁目20,4880858,35.211562,137.01433,,尾張旭市白鳳児童館,0561-52-0438,http://www.city.owariasahi.lg.jp/kurasi/kosodate/jidoukan/itiran/hakuhou.html
232262,,児童厚生施設,児童館,尾張旭市平子児童館,オワリアサヒシヒラコジドウカン,,尾張旭市平子町中通219-2,4880873,35.221378,137.02475,,尾張旭市平子児童館,0561-52-3522,http://www.city.owariasahi.lg.jp/kurasi/kosodate/jidoukan/itiran/hirako.html
232262,,児童厚生施設,児童館,尾張旭市本地ケ原児童館,オワリアサヒシホンジガハラジドウカン,,尾張旭市南新町中畑1-130,4880041,35.199623,137.032277,,尾張旭市本地ケ原児童館,0561-53-8171,http://www.city.owariasahi.lg.jp/kurasi/kosodate/jidoukan/itiran/honji.html
232262,,児童厚生施設,児童館,尾張旭市瑞鳳児童館,オワリアサヒシズイホウジドウカン,,尾張旭市大塚町二丁目10-3,4880826,35.201604,137.020398,,尾張旭市瑞鳳児童館,052-776-5060,http://www.city.owariasahi.lg.jp/kurasi/kosodate/jidoukan/itiran/zuihou.html
232262,,児童厚生施設,児童館,尾張旭市三郷児童館,オワリアサヒシサンゴウジドウカン,,尾張旭市瀬戸川町一丁目229,4880023,35.212916,137.055546,,尾張旭市三郷児童館,0561-52-6848,http://www.city.owariasahi.lg.jp/kurasi/kosodate/jidoukan/itiran/sangou.html
232262,,児童厚生施設,児童館,尾張旭市中部児童館,オワリアサヒシチュウブジドウカン,,尾張旭市西の野町五丁目12-3,4880804,35.211055,137.03586,,尾張旭市中部児童館,0561-53-5060,http://www.city.owariasahi.lg.jp/kurasi/kosodate/jidoukan/itiran/tyuubu.html
232262,,児童厚生施設,児童館,尾張旭市旭丘児童館,オワリアサヒシアサヒガオカジドウカン,,尾張旭市大久手町上切戸62,4880005,35.223779,137.045414,,尾張旭市旭丘児童館,0561-52-5131,http://www.city.owariasahi.lg.jp/kurasi/kosodate/jidoukan/itiran/asahigaoka.html
232262,,児童厚生施設,児童館,尾張旭市渋川児童館,オワリアサヒシシブカワジドウカン,,尾張旭市渋川町一丁目6-1,4880839,35.208289,137.018922,,尾張旭市渋川児童館,0561-51-1919,http://www.city.owariasahi.lg.jp/kurasi/kosodate/jidoukan/itiran/sibukawa.html
232262,,子育て支援施設,児童クラブ,旭丘児童クラブ,アサヒガオカジドウクラブ,,尾張旭市大久手町上切戸117-1（尾張旭市立旭丘小学校内）,4880005,35.223346,137.043637,,旭丘児童クラブ,0561-54-7773,http://www.city.owariasahi.lg.jp/koukyousisetu/jido/010.html
232262,,子育て支援施設,児童クラブ,本地ヶ原児童クラブ,ホンジガハラジドウクラブ,,尾張旭市南新町中畑252（尾張旭市立本地原小学校内）,4880041,35.198323,137.030424,,本地ヶ原児童クラブ,0561-52-5544,http://www.city.owariasahi.lg.jp/koukyousisetu/jido/011.html
232262,,子育て支援施設,児童クラブ,瑞鳳児童クラブ,ズイホウジドウクラブ,,尾張旭市大塚町二丁目10-3（尾張旭市立瑞鳳児童館内）,4880826,35.201604,137.020398,,瑞鳳児童クラブ,052-776-5060,http://www.city.owariasahi.lg.jp/koukyousisetu/jido/012.html
232262,,子育て支援施設,児童クラブ,渋川児童クラブ,シブカワジドウクラブ,,尾張旭市渋川町一丁目6-1（尾張旭市立渋川児童館内）,4880839,35.208289,137.018922,,渋川児童クラブ,0561-51-1919,http://www.city.owariasahi.lg.jp/koukyousisetu/jido/013.html
232262,,子育て支援施設,児童クラブ,白鳳児童クラブ,ハクホウジドウクラブ,,尾張旭市白鳳町一丁目12（尾張旭市立白鳳小学校内）,4880858,35.212993,137.014004,,白鳳児童クラブ,0561-53-8400,http://www.city.owariasahi.lg.jp/koukyousisetu/jido/014.html
232262,,子育て支援施設,児童クラブ,城山児童クラブ,シロヤマジドウクラブ,,尾張旭市城山町城山13-1（尾張旭市立城山小学校内）,4880884,35.223464,137.028082,,城山児童クラブ,0561-53-6501,http://www.city.owariasahi.lg.jp/koukyousisetu/jido/015.html
232262,,子育て支援施設,児童クラブ,三郷児童クラブ,サンゴウジドウクラブ,,尾張旭市瀬戸川町一丁目122（尾張旭市立三郷小学校内）,4880023,35.211252,137.057132,,三郷児童クラブ,0561-51-3352,http://www.city.owariasahi.lg.jp/koukyousisetu/jido/016.html
232262,,子育て支援施設,児童クラブ,旭児童クラブ,アサヒジドウクラブ,,尾張旭市西の野町五丁目1（尾張旭市立旭小学校内）,4880804,35.21168,137.036854,,旭児童クラブ,0561-53-2230,http://www.city.owariasahi.lg.jp/koukyousisetu/jido/017.html
232262,,子育て支援施設,児童クラブ,東栄児童クラブ,トウエイジドウクラブ,,尾張旭市東栄町三丁目5-1（尾張旭市立東栄小学校内）,4880011,35.220085,137.053616,,東栄児童クラブ,0561-53-2977,http://www.city.owariasahi.lg.jp/koukyousisetu/jido/018.html
232262,,子育て支援施設,民間学童クラブ,あおぞら学童クラブ,アオゾラガクドウクラブ,,尾張旭市平子町長池上6387-3,4880872,35.222039,137.025549,,あおぞら学童クラブ,0561-54-5075,
232262,,子育て支援施設,民間学童クラブ,藤池学童クラブ,フジイケガクドウクラブ,,尾張旭市柏井町弥栄303,4880008,35.224191,137.053068,,藤池学童クラブ,0561-52-1603,
232262,,子育て支援施設,民間学童クラブ,はくほう学童クラブ,ハクホウガクドウクラブ,,尾張旭市印場元町四丁目2-11,4880840,35.209661,137.012981,,はくほう学童クラブ,0561-52-3673,
232262,,子育て支援施設,民間学童クラブ,あさひ学童クラブ,アサヒガクドウクラブ,,尾張旭市東大道町曽我廻間2269-5,4880802,35.213394,137.037672,,あさひ学童クラブ,0561-52-8049,
232262,,子育て支援施設,民間学童クラブ,ふぁんふぁん学童クラブ,ファンファンガクドウクラブ,,尾張旭市東栄町一丁目11-10,4880011,35.218388,137.051086,,ふぁんふぁん学童クラブ,0561-53-5919,
232262,,子育て支援施設,民間学童クラブ,nursery school friend,チビッコランドオワリアサヒエン,,尾張旭市大久手町中松原114-1,4880006,35.223126,137.047766,,nursery school friend,0561-52-6671,
232262,,子育て支援施設,,尾張旭市子育て支援センター,オワリアサヒシコソダテシエンセンター,,尾張旭市新居町明才切57,4880074,35.218637,137.034957,,尾張旭市子育て支援センター,0561-52-3132,
232262,,子育て支援施設,,はんのき子育て支援センター,ハンノキコソダテシエンセンター,,尾張旭市桜ヶ丘町二丁目217,4880859,35.215065,137.013656,,はんのき子育て支援センター,0561-55-7611,
232262,,子育て支援施設,,藤池子育て支援センター,フジイケコソダテシエンセンター,,尾張旭市東栄町一丁目9-1,4880011,35.219241,137.050083,,藤池子育て支援センター,0561-53-2860,
232262,,子育て支援施設,,茅ケ池子育て支援センター,チガイケコソダテシエンセンター,,尾張旭市城前町一丁目7-5,4880867,35.218812,137.024605,,茅ケ池子育て支援センター,0561-53-3989,
232262,,子育て支援施設,,東部子育て支援センター,トウブコソダテシエンセンター,,尾張旭市狩宿新町一丁目56,4880022,35.212539,137.059285,,東部子育て支援センター,0561-53-2265,
232262,,子育て支援施設,,川南子育て支援センター,カワミナミコソダテシエンセンター,,尾張旭市大塚町二丁目4-1,4880826,35.2007,137.018881,,川南子育て支援センター,052-771-9301,
232262,,子育て支援施設,,レイモンド庄中子育て支援センター,レイモンドショウナカコソダテシエンセンター,,尾張旭市庄中町一丁目2-8,4880838,35.207275,137.013008,,レイモンド庄中子育て支援センター,0561-76-0888,
232262,,子育て支援施設,,尾張旭市ファミリーサポートセンター,オワリアサヒシファミリーサポートセンター,,尾張旭市新居町明才切57,4880074,35.218637,137.034957,,尾張旭市ファミリーサポートセンター,0561-51-5571,
232262,,子育て支援施設,,こどもの発達センター　にこにこ,コドモノハッタツセンター　ニコニコ,,尾張旭市新居町明才切57,4880074,35.218637,137.034949,子どもの発達に関する不安や悩み、関わり方についての相談窓口です。,こどもの発達センター　にこにこ,0561-53-6103,http://www.city.owariasahi.lg.jp/kurasi/kosodate/sien/nikoniko.html
232262,,幼稚園,私立,旭富士幼稚園,アサヒフジヨウチエン,,尾張旭市旭ヶ丘町森８７,4880082,35.229989,137.048725,私立幼稚園です。,旭富士幼稚園,0561-53-5262,http://asahifujiyouchie.sakura.ne.jp/index.html
232262,,幼稚園,私立,愛英本地幼稚園,アイエイホンジホウチエン,,尾張旭市南本地ヶ原町１－２６,4880044,35.193924,137.032116,私立幼稚園です。,愛英本地幼稚園,0561-54-6311,http://www.matsunaga-gakuen.jp/
232262,,幼稚園,私立,しらぎく幼稚園,シラギクヨウチエン,,尾張旭市北本地ヶ原町３－３８,4880043,35.199234,137.038032,私立幼稚園です。,しらぎく幼稚園,0561-54-4790,http://www.siragiku.ac.jp/
232262,,幼稚園,私立,東春暁幼稚園,トウシュンアカツキヨウチエン,,尾張旭市旭前町４－６－１,4880855,35.212535,137.018145,私立幼稚園です。,東春暁幼稚園,0561-54-2423,http://www.tousyunakatuki.ed.jp/index.html
232262,,保育園,公立,東部保育園,トウブホイクエン,,尾張旭市狩宿新町１－５６,4880022,35.2125355,137.0592821,公立保育園です。,東部保育園,0561-53-2265,http://www.allfairy.com/
232262,,保育園,公立,中部保育園,チュウブホイクエン,,尾張旭市西大道町前田３７８６,4880814,35.21304,137.033921,公立保育園です。,中部保育園,0561-53-2254,http://www.city.owariasahi.lg.jp/kurasi/kosodate/hoiku/itiran/tyuubu.html
232262,,保育園,公立,西部保育園,セイブホイクエン,,尾張旭市印場元町５－１４－１０,4880840,35.2102301,137.01774,公立保育園です。,西部保育園,0561-53-2676,http://www.city.owariasahi.lg.jp/kurasi/kosodate/hoiku/itiran/seibu.html
232262,,保育園,公立,藤池保育園,フジイケホイクエン,,尾張旭市東栄町１－９－１,4880011,35.219232,137.050094,公立保育園です。,藤池保育園,0561-53-2860,http://www.city.owariasahi.lg.jp/kurasi/kosodate/hoiku/itiran/hujiike.html
232262,,保育園,公立,本地ヶ原保育園,ホンジガハラホイクエン,,尾張旭市北本地ヶ原町１－２１,4880043,35.197725,137.031648,公立保育園です。,本地ヶ原保育園,0561-53-3359,http://www.city.owariasahi.lg.jp/kurasi/kosodate/hoiku/itiran/honji.html
232262,,保育園,公立,茅ヶ池保育園,チガイケホイクエン,,尾張旭市城前町１－７－５,4880867,35.218803,137.024573,公立保育園です。,茅ヶ池保育園,0561-53-3989,http://www.nihonhoiku.co.jp/blog/chigaike/
232262,,保育園,公立,川南保育園,カワミナミホイクエン,,尾張旭市大塚町２－４－１,4880826,35.200682,137.01886,公立保育園です。,川南保育園,052-771-9301,http://www.city.owariasahi.lg.jp/kurasi/kosodate/hoiku/itiran/kawaminami.html
232262,,保育園,公立,西山保育園,ニシヤマホイクエン,,尾張旭市井田町２－１７５,4880024,35.21054,137.04802,公立保育園です。,西山保育園,0561-53-5788,http://www.city.owariasahi.lg.jp/kurasi/kosodate/hoiku/itiran/nisiyama.html
232262,,保育園,公立,あたご保育園,アタゴホイクエン,,尾張旭市新居町今池下２９１０－１,4880079,35.223545,137.040176,公立保育園です。,あたご保育園,0561-53-5758,http://www.city.owariasahi.lg.jp/kurasi/kosodate/hoiku/itiran/atago.html
232262,,保育園,公立,柏井保育園,カシワイホイクエン,,尾張旭市柏井町弥栄１６,4880008,35.226595,137.051686,公立保育園です。,柏井保育園,0561-54-3098,http://www.city.owariasahi.lg.jp/kurasi/kosodate/hoiku/itiran/kasiwai.html
232262,,保育園,公立,稲葉保育園,イナバホイクエン,,尾張旭市稲葉町１－４３,4880054,35.205375,137.032833,公立保育園です。,稲葉保育園,0561-54-0655,http://gakuen.kikutake.com/inabanewpage1.html
232262,,保育園,公立,はんのき保育園,ハンノキホイクエン,,尾張旭市桜ヶ丘町２－２１７,4880859,35.215065,137.013688,公立保育園です。,はんのき保育園,0561-55-7611,http://www.allfairy.com/
232262,,保育園,私立,あさひおっきい保育園,アサヒオッキイホイクエン,,尾張旭市平子町東１５７－１,4880871,35.228574,137.026938,私立保育園です。,あさひおっきい保育園,0561-54-2704,http://asahiokkii.net/
232262,,保育園,私立,保育所てんとう虫,ホイクジョテントウムシ,,尾張旭市新居町明才切２３－１,4880074,35.219332,137.037313,私立保育園です。,保育所てんとう虫,0561-52-2164,http://www.hoikujo-tentoumushi.com/
232262,,保育園,私立,レイモンド庄中保育園,レイモンドショウナカホイクエン,,尾張旭市庄中町１－２－８,4880838,35.207257,137.013019,私立保育園です。,レイモンド庄中保育園,0561-76-0888,http://www.lemonkai.or.jp/leimondshonaka/
232262,,保育園,小規模保育事業所,nursery school family,ナーサリ－スクールファミリー,,尾張旭市東栄町１－７－１８ピアプラザ横山ビルIII　１BC,4880011,35.219871,137.050902,小規模保育事業所です。,nursery school family,0561-76-7622,http://www.city.owariasahi.lg.jp/kurasi/kosodate/hoiku/itiran/family.html
232262,,保育園,小規模保育事業所,スクルドエンジェル保育園三郷園,スクルドエンジェルホイクエンサンゴウエン,,尾張旭市三郷町中井田２０２－１,4880014,35.215468,137.054267,小規模保育事業所です。,スクルドエンジェル保育園三郷園,0561-58-3636,http://sango.skuld-angel.com/
232262,,保育園,小規模保育事業所,あさひちいさないえほいくえん,アサヒチイサナイエホイクエン,,尾張旭市印場元町２－１０－７,4880840,35.210044,137.011201,小規模保育事業所です。,あさひちいさないえほいくえん,0561-59-5115,http://www.city.owariasahi.lg.jp/kurasi/kosodate/hoiku/itiran/tiisana.html
232262,,保育園,小規模保育事業所,memorytree旭保育園,メモリーツリーアサヒホイクエン,,尾張旭市向町２－６－１サニーハイツ尾張旭１Ｆ,4880818,35.213971,137.031348,小規模保育事業所です。,memorytree旭保育園,0561-76-3288,http://memorytree-cocolino.com/asahi_top.htm
232262,,保育園,認可外保育施設,nursery school friend,ナーサリ－スクールフレンド,,尾張旭市大久手町中松原１１４－１,4880006,35.223117,137.047806,認可外保育施設です。,nursery school friend,0561-52-6671,http://www.city.owariasahi.lg.jp/kurasi/kosodate/hoiku/ninkagai.html
232262,,保育園,認可外保育施設,保育ルーム　ルチェーレ,ホイクルーム　ルチェーレ,,尾張旭市東三郷町３１８,4880017,35.213316,137.057766,認可外保育施設です。,保育ルーム　ルチェーレ,0561-58-9114,https://ameblo.jp/lucere35yi/
232262,,病児・病後児保育施設,,あらかわ医院,アラカワイイン,,尾張旭市大久手町中松原３９,4880006,35.223973,137.048028,病児・病後児保育施設です。,医療法人あらかわ医院,0561--53-9666,http://arakawa-cl.com/
23229,,児童館,公立,コスモス児童館,コスモスジドウカン,,愛知県豊明市新田町南山８２,4701112,35.047706,137.014112,,コスモス児童館,0562-95-2529,
23229,,児童館,公立,二村児童館,フタムラジドウカン,,愛知県豊明市西川町横井４－１３,4701121,35.061679,137.007389,,二村児童館,0562-92-3465,
23229,,児童館,公立,大宮児童館,オオミヤジドウカン,,愛知県豊明市前後町宮前１４８７－９,4701151,35.058723,136.993329,,大宮児童館,0562-93-8808,
23229,,児童館,公立,南部児童館,ナンブジドウカン,,愛知県豊明市栄町山ノ田１１２,4701161,35.046638,136.997535,,南部児童館,0562-97-7575,
23229,,児童館,公立,ひまわり児童館,ヒマワリジドウカン,,愛知県豊明市栄町上姥子３－２１３,4701162,35.052412,136.992993,,ひまわり児童館,0562-97-4331,
23229,,児童館,公立,西部児童館,セイブジドウカン,,愛知県豊明市栄町南舘３１６－２,4701168,35.052559,136.981128,,西部児童館,0562-98-2200,
23229,,児童館,公立,中央児童館,チュウオウジドウカン,,愛知県豊明市西川町笹原２６－１,4701123,35.059454,137.012158,,中央児童館,0562-93-6601,
23229,,児童館,公立,北部児童館,ホクブジドウカン,,愛知県豊明市沓掛町泉１５３－４,4701107,35.057942,137.029249,,北部児童館,0562-92-3337,
23229,,児童クラブ,公立,コスモス児童クラブ,コスモスジドウクラブ,,愛知県豊明市新田町南山８２,4701112,35.047706,137.014112,,コスモス児童館,0562-95-2529,
23229,,児童クラブ,公立,二村児童クラブ,フタムラジドウクラブ,,愛知県豊明市西川町横井４－１３,4701121,35.061679,137.007389,,二村児童館,0562-92-3465,
23229,,児童クラブ,公立,大宮児童クラブ,オオミヤジドウクラブ,,愛知県豊明市前後町宮前１４８７－９,4701151,35.058723,136.993329,,大宮児童館,0562-93-8808,
23229,,児童クラブ,公立,南部児童クラブ,ナンブジドウクラブ,,愛知県豊明市栄町山ノ田１１２,4701161,35.046638,136.997535,,南部児童館,0562-97-7575,
23229,,児童クラブ,公立,ひまわり児童クラブ,ヒマワリジドウクラブ,,愛知県豊明市栄町上姥子３－２１３,4701162,35.052412,136.992993,,ひまわり児童館,0562-97-4331,
23229,,児童クラブ,公立,西部児童クラブ,セイブジドウクラブ,,愛知県豊明市栄町南舘３１６－２,4701168,35.052559,136.981128,,西部児童館,0562-98-2200,
23229,,児童クラブ,公立,双峰児童クラブ,ソウホウジドウクラブ,,愛知県豊明市二村台７丁目３,4701131,35.068645,137.007522,,双峰児童クラブ,0562-95-3313,
23229,,児童クラブ,公立,北部児童クラブ,ホクブジドウクラブ,,愛知県豊明市沓掛町一之御前１６,4701101,35.068343,137.026581,,北部児童クラブ,0562-92-0828,
23229,,児童クラブ,公立,唐竹児童クラブ,カラタケジドウクラブ,,愛知県豊明市二村台１丁目２７,4701131,35.062628,137.002398,,唐竹児童クラブ,0562-93-1661,
23229,,母子通園施設,公立,どんぐり学園,ドングリガクエン,,愛知県豊明市西川町長田１６－８,4701122,35.061029,137.014321,,どんぐり学園,0562-92-6218,
23229,,保育所,公立,沓掛保育園,クツカケホイクエン,,愛知県豊明市沓掛町森元４,4701101,35.067928,137.018929,,児童福祉課,0562-92-0465,
23229,,保育所,公立,青い鳥保育園,アオイトリホイクエン,,愛知県豊明市三崎町高鴨１－１,4701126,35.05479,137.005006,,児童福祉課,0562-92-6666,
23229,,保育所,公立,二村台保育園,フタムラダイホイクエン,,愛知県豊明市二村台３丁目１－１,4701131,35.064166,137.006534,,児童福祉課,0562-92-1500,
23229,,保育所,公立,舘保育園,ヤカタホイクエン,,愛知県豊明市栄町西大根30-273,4701167,35.053678,136.977533,,児童福祉課,0562-97-0800,
23229,,保育所,公立,中部保育園,チュウブホイクエン,,愛知県豊明市新田町門先10-10,4701112,35.051858,137.018471,,児童福祉課,0562-92-7667,
23229,,保育所,公立,内山保育園,ウチヤマホイクエン,,愛知県豊明市栄町内山67-5,4701165,35.047726,136.99061,,児童福祉課,0562-97-6336,
23229,,保育所,公立,東部保育園,トウブホイクエン,,愛知県豊明市沓掛町柿ノ木3,4701101,35.065907,137.031738,,児童福祉課,0562-93-1231,
23229,,保育所,公立,栄保育園,サカエホイクエン,,愛知県豊明市新栄町二丁目333,4701154,35.054595,136.987697,,児童福祉課,0562-97-1900,
23229,,保育所,公立,南部保育園,ナンブホイクエン,,愛知県豊明市栄町坂畑100,4701161,35.049868,136.99804,,児童福祉課,0562-97-2811,
23229,,保育所,公立,西部保育園,セイブホイクエン,,愛知県豊明市間米町鶴根1212-66,4701133,35.063392,136.994704,,児童福祉課,0562-93-7781,
23229,,保育所,私立,むつみ保育園,ムツミホイクエン,,愛知県豊明市阿野町西ノ海戸19-2,4701141,35.042608,137.008347,,児童福祉課,0562-92-0137,
23229,,保育所,私立,からたけ保育園,カラタケホイクエン,,愛知県豊明市間米町唐竹368-7,4701132,35.06675,137.005308,,児童福祉課,0562-93-3737,
23229,,保育所,私立,マミーナ保育園,マミーナホイクエン,,愛知県豊明市新栄町三丁目308,4701154,35.05497,136.986566,,児童福祉課,0562-98-1116,
23229,,小規模保育事業所,私立,メモリーツリー三崎保育園,メモリーツリーミサキホイクエン,,愛知県豊明市三崎町中ノ坪21-10,4701125,35.054724,137.008531,,児童福祉課,0562-51-6192,
23229,,小規模保育事業所,私立,豊明学園ひまわり,トヨアケガクエンヒマワリ,,愛知県豊明市沓掛町山新田10-15,4701101,35.088682,137.017292,,児童福祉課,0562-92-3121,
23229,,小規模保育事業所,私立,豊明なかよし保育園,トヨアケナカヨシホイクエン,,愛知県豊明市大久伝町西53-10,4701111,35.053502,137.021743,,児童福祉課,0562-92-7826,
23230,CKS001,子育て支援施設,休日急病診療所,休日急病診療所,キュウジツキュウビョウシンリョウジョ,,愛知県日進市蟹甲町中島22(中央福祉センター内),4700122,35.132795,137.042009,日進市中央福祉センター内にある休日急病診療所です。,休日急病診療所,0561-73-7555,http://www.city.nisshin.lg.jp/fukushi/hoken/kyuusinn.html
23230,CKS002,子育て支援施設,児童館,西部福祉会館,セイブフクシカイカン,,愛知県日進市赤池町下郷222,4700126,35.12599221,137.0147748,乳幼児室、学習室があります。,西部福祉会館,052-803-5286,http://www.city.nisshin.lg.jp/shisetsu/kenkofukushi/seibufukushikaikan.html
23230,CKS003,子育て支援施設,児童館,北部福祉会館,ホクブフクシカイカン,,愛知県日進市岩崎町大塚1034,4700131,35.14330932,137.0432002,ティーンズスペース、図書コーナー、学習室があります。,北部福祉会館,0561-73-0183,http://www.city.nisshin.lg.jp/shisetsu/kenkofukushi/hokubufukushikaikan.html
23230,CKS004,子育て支援施設,児童館,東部福祉会館,トウブフクシカイカン,,愛知県日進市米野木町仲田35-23,4700111,35.13311228,137.0615677,遊戯室・図書室があります。,東部福祉会館,0561-73-7881,http://www.city.nisshin.lg.jp/shisetsu/kenkofukushi/tfukushikaikan.html
